"List Country","Date","DateGroup","Sent","Delivered","Opens","Clicks","Unsubscribes","Disabled","Revenue","Complaints","Blocks","Hard Bounces","Soft Bounces","Raw Opens","Raw Clicks","Raw Unsubscribes","Raw Complaints","Raw Disabled"
"SG","2026-03-16","03/16","20926","20918","9075","933","370","3","87.016000013798","0","5","1","2","14871","1610","404","0","3"
"SG","2026-03-17","03/17","20807","20799","8788","968","396","2","91.612400565296","0","6","1","1","14413","1717","440","0","2"
"SG","2026-03-18","03/18","20714","20712","8467","896","334","1","16.422499797307","0","1","1","0","13442","1505","364","0","1"
"ID","2026-03-12","03/12","13896","13888","2844","453","79","8","27.383100155741","0","0","7","1","4807","814","83","0","8"
"ID","2026-03-13","03/13","13843","13843","2629","451","63","0","25.152600184083","0","0","0","0","4380","741","64","0","0"
"ID","2026-03-18","03/18","13844","13835","2550","364","119","9","4.3212999850512","0","0","7","2","4249","595","135","0","9"
"ID","2026-03-14","03/14","13677","13673","2367","390","77","4","26.321700263768","0","0","4","0","4032","732","82","0","4"
"ID","2026-03-17","03/17","13620","13615","2738","437","101","5","21.738600026816","0","0","5","0","4753","697","109","0","5"
"ID","2026-03-15","03/15","13576","13572","2787","438","72","4","28.889799691737","0","0","4","0","4544","741","76","0","4"
"ID","2026-03-16","03/16","13549","13548","2845","407","116","1","28.160899877548","0","0","1","0","4923","640","120","0","1"
"","2026-03-12","03/12","0","","0","0","0","0","0","111218","0","0","0","0","0","0","111218","0"
"","2026-03-13","03/13","0","","0","0","0","0","0","107896","0","0","0","0","0","0","107896","0"
"","2026-03-15","03/15","0","","0","0","0","0","0","108960","0","0","0","0","0","0","108960","0"
"","2026-03-16","03/16","0","","0","0","0","0","0","110231","0","0","0","0","0","0","110231","0"
