"Sending Domain","Date","DateGroup","Sent","Delivered","Opens","Clicks","Unsubscribes","Disabled","Revenue","Complaints","Blocks","Hard Bounces","Soft Bounces","Raw Opens","Raw Clicks","Raw Unsubscribes","Raw Complaints","Raw Disabled"
"rg.expertjobmatch.com","2025-11-29","11/29","1029239","1029210","444072","6542","5730","8","1211.7196103903","0","21","2","6","580528","10847","5952","0","8"
"email1.rg.expertjobmatch.com","2026-02-03","02/03","1029146","1029135","479970","8363","8077","11","1444.4753143108","0","0","10","1","664753","12773","8321","0","11"
"betterjobsonline.com","2025-11-20","11/20","1028939","1028891","523728","8351","9049","47","1355.7905977992","4656","1","12","35","715508","12840","9483","4656","47"
"rg.expertjobmatch.com","2026-01-20","01/20","1028857","1028833","484784","9103","8179","12","1605.3033177266","1745","12","7","5","669201","13119","8497","1745","12"
"rg.expertjobmatch.com","2025-11-28","11/28","1028735","1028710","440439","6489","5747","21","1189.0218936452","884","4","1","20","580535","9939","6042","884","21"
"betterjobsonline.com","2025-12-03","12/03","1028748","1028704","531394","8602","9811","44","1470.119400433","4642","0","6","38","732202","13218","10279","4642","44"
"email1.rg.expertjobmatch.com","2026-02-07","02/07","1028693","1028686","447795","6146","6135","7","1040.694407573","0","0","6","1","591620","10098","6383","0","7"
"yayjobs.net","2025-11-28","11/28","1028658","1028611","525775","5479","6544","47","801.87000016635","3609","0","4","43","691609","8369","6844","3609","47"
"rg.expertjobmatch.com","2025-11-30","11/30","1028602","1028569","444709","7501","6733","16","1343.5749993855","870","17","6","10","589566","12115","6983","870","16"
"rg.expertjobmatch.com","2025-12-25","12/25","1028564","1028540","429458","5267","4385","18","962.03120005503","871","6","4","14","553112","8644","4852","871","18"
"rg.expertjobmatch.com","2026-01-17","01/17","1028489","1028473","462210","7043","6807","8","1239.4046105202","1760","8","3","5","606734","11352","7088","1760","8"
"email1.rg.expertjobmatch.com","2025-12-12","12/12","1028463","1028455","451749","7826","6665","8","1561.7286077105","0","0","5","3","610603","11795","7022","0","8"
"rg.expertjobmatch.com","2025-12-29","12/29","1028343","1028304","465969","8430","7387","25","1533.5555106346","1734","14","2","23","633854","12449","7675","1734","25"
"rg.expertjobmatch.com","2026-01-13","01/13","1028222","1028186","482686","8967","8117","16","1602.8638143577","1664","20","5","11","656821","13235","8413","1664","16"
"email1.rg.expertjobmatch.com","2025-12-07","12/07","1028173","1028168","454641","7407","5987","5","1414.5302026067","0","0","4","1","602779","11910","6421","0","5"
"rg.expertjobmatch.com","2025-12-03","12/03","1027879","1027850","465370","8659","7969","16","1765.4105046345","881","13","3","13","631763","13033","8215","881","16"
"rg.expertjobmatch.com","2026-01-19","01/19","1027778","1027757","486036","8792","7798","10","1510.1120037902","1748","11","3","7","661740","12653","8113","1748","10"
"rg.expertjobmatch.com","2025-12-10","12/10","1027434","1027401","465890","8573","8782","14","1726.6134032514","877","19","3","11","636083","12752","9041","877","14"
"betterjobsonline.com","2025-12-19","12/19","1027465","1027373","411830","6869","7055","92","945.39539894415","5564","0","10","82","559173","10605","7893","5564","92"
"rg.expertjobmatch.com","2026-01-21","01/21","1027374","1027350","479666","8869","8171","8","1583.5617132988","0","16","3","5","657555","13047","8492","0","8"
"rg.expertjobmatch.com","2025-12-08","12/08","1026966","1026944","477450","9124","7224","17","1818.7051966595","874","5","3","14","656638","13487","7750","874","17"
"rg.expertjobmatch.com","2025-12-11","12/11","1026892","1026855","462158","8127","7983","13","1555.7938007228","0","24","3","10","626419","12082","8235","0","13"
